factory_id;factory_name_raw;factory_name;factory_type_raw;factory_type;product_type;nike_brands;suppliers_raw;suppliers;country
1;A & K Designs, Inc.;A & K Designs, Inc.;FINISHED GOODS;Finished Goods;Apparel;Nike;A & K DESIGNS;A & K Designs;USA
2;ACode Sporting Goods Co., Ltd.;Acode Sporting Goods Co., Ltd.;FINISHED GOODS;Finished Goods;Equipment;Nike;EXCELLENCE SPORTING GOODS;Excellence Sporting Goods;Vietnam
3;Ad Dulyal;Ad Dulyal;FINISHED GOODS;Finished Goods;Apparel;Nike;MAS HOLDINGS;Mas Holdings;Jordan
4;ADORA FOOTWEAR LIMITED;Adora Footwear Limited;FINISHED GOODS;Finished Goods;Footwear;Converse;HUALI;Huali;Vietnam
5;AHP APPAREL PVT LTD., UNIT 60;Ahp Apparel Pvt Ltd., Unit 60;FINISHED GOODS;Finished Goods;Apparel;Nike;SHAHI;Shahi;India
6;AHP APPARELS PVT.LTD. UNIT 61;Ahp Apparels Pvt.Ltd. Unit 61;FINISHED GOODS;Finished Goods;Apparel;Nike;SHAHI;Shahi;India
7;Ajara 1;Ajara 1;FINISHED GOODS;Finished Goods;Apparel;Nike;MILTEKS;Milteks;Georgia
8;Ajara Textile Ltd;Ajara Textile Ltd;FINISHED GOODS;Finished Goods;Apparel;Nike;MILTEKS;Milteks;Georgia
9;All Wells International Co., Ltd.;All Wells International Co., Ltd.;FINISHED GOODS;Finished Goods;Footwear;Nike;SPORTS GEAR;Sports Gear;Vietnam
10;Almaxtex Tekstil Sanayi ve Ticaret A.S.;Almaxtex Tekstil Sanayi Ve Ticaret A.S.;FINISHED GOODS;Finished Goods;Apparel;Nike;YESIM;Yesim;Turkey
11;ANHUI COSMO SPORTING GOODS COMPANY LIMITED;Anhui Cosmo Sporting Goods Company Limited;FINISHED GOODS;Finished Goods;Equipment;Nike;ANHUI COSMO;Anhui Cosmo;China
12;ANIGER CALCADOS SUPRIMENTOS E EMPREENDIMENTOS LTDA;Aniger Calcados Suprimentos E Empreendimentos Ltda;FINISHED GOODS;Finished Goods;Footwear;Nike;ANIGER;Aniger;Brazil
13;Annic II S.A.;Annic Ii S.A.;FINISHED GOODS;Finished Goods;Apparel;Nike;GILDAN;Gildan;Nicaragua
14;Annora Vietnam  Footwear Co.,Ltd;Annora Vietnam  Footwear Co.,Ltd;FINISHED GOODS;Finished Goods;Footwear;Nike;HUALI;Huali;Vietnam
15;Apple Apparel Cambodia Co Ltd;Apple Apparel Cambodia Co Ltd;FINISHED GOODS;Finished Goods;Apparel;Nike;RAMATEX;Ramatex;Cambodia
16;ArtFX Concord;Artfx Concord;FINISHED GOODS;Finished Goods;Apparel;Nike;TEGRA;Tegra;USA
17;ARTFX INC;Artfx Inc;FINISHED GOODS;Finished Goods;Apparel;Nike;TEGRA;Tegra;USA
18;Asena 4;Asena 4;FINISHED GOODS;Finished Goods;Apparel;Nike;YESIM;Yesim;Moldova
19;ASIATAN (CHINA);Asiatan (China);MATERIALS;Materials;Footwear;Nike;ASIATAN;Asiatan;China
20;AURORA VIETNAM INDUSTRIAL FOOTWEAR CO., LTD;Aurora Vietnam Industrial Footwear Co., Ltd;FINISHED GOODS;Finished Goods;Footwear;Converse;HUALI;Huali;Vietnam
21;AVERY DENNISON (GUANGZHOU) CONVERTED PRODUCTS LTD;Avery Dennison (Guangzhou) Converted Products Ltd;MATERIALS;Materials;Apparel;Nike;AVERY DENNISON;Avery Dennison;China
22;Avery Dennison (Suzhou) Co.,Ltd ;Avery Dennison (Suzhou) Co.,Ltd ;MATERIALS;Materials;Apparel;Nike;AVERY DENNISON;Avery Dennison;China
23;AVERY DENNISON RIS HONDURAS S DE R;Avery Dennison Ris Honduras S De R;FINISHED GOODS - COMPONENTS;Finished Goods - Components;Apparel;Nike;AVERY DENNISON;Avery Dennison;Honduras
24;Avery Dennison RIS Italia S.r.l.;Avery Dennison Ris Italia S.R.L.;FINISHED GOODS - COMPONENTS;Finished Goods - Components;Apparel;Nike;AVERY DENNISON;Avery Dennison;Italy
25;Avery Dennison RIS Vietnam Co. Ltd.;Avery Dennison Ris Vietnam Co. Ltd.;MATERIALS;Materials;Footwear;Nike;AVERY DENNISON;Avery Dennison;Vietnam
26;Avery Dennison Tekstil Urunleri Sanayi ve Ticaret Ltd. Sti.;Avery Dennison Tekstil Urunleri Sanayi Ve Ticaret Ltd. Sti.;MATERIALS;Materials;Apparel;Nike;AVERY DENNISON;Avery Dennison;Turkey
27;BAIKSAN (CHINA);Baiksan (China);MATERIALS;Materials;Footwear;Nike;BAIKSAN;Baiksan;China
28;BAIKSAN (KOREA);Baiksan (Korea);MATERIALS;Materials;Footwear;Nike;BAIKSAN;Baiksan;South Korea
29;BAIKSAN (TR1) (INDONESIA);Baiksan (Tr1) (Indonesia);MATERIALS;Materials;Footwear;Nike;BAIKSAN;Baiksan;Indonesia
30;BAIKSAN (VIETNAM);Baiksan (Vietnam);MATERIALS;Materials;Footwear;Nike;BAIKSAN;Baiksan;Vietnam
31;Berry Apparel Cambodia Co., Ltd.;Berry Apparel Cambodia Co., Ltd.;FINISHED GOODS;Finished Goods;Apparel;Nike;RAMATEX;Ramatex;Cambodia
32;Big Game Sports;Big Game Sports;FINISHED GOODS;Finished Goods;Apparel;Nike;BIG GAME SPORTS;Big Game Sports;USA
33;TNG Investment and Trading JSC - Dai Tu;Tng Investment And Trading Jsc - Dai Tu;FINISHED GOODS;Finished Goods;Apparel;Nike;TNG;Tng;Vietnam
34;Blue Star Graphics;Blue Star Graphics;FINISHED GOODS;Finished Goods;Apparel;Nike;BLUE STAR;Blue Star;USA
35;Bodyline (Private) Limited BPL II;Bodyline (Private) Limited Bpl Ii;FINISHED GOODS;Finished Goods;Apparel;Nike;MAS HOLDINGS;Mas Holdings;Sri Lanka
36;Bodyline Private Limited III;Bodyline Private Limited Iii;FINISHED GOODS;Finished Goods;Apparel;Nike;MAS HOLDINGS;Mas Holdings;Sri Lanka
37;BODYLINE PVT LIMITED;Bodyline Pvt Limited;FINISHED GOODS;Finished Goods;Apparel;Nike;MAS HOLDINGS;Mas Holdings;Sri Lanka
38;BRANCH 1 OF GREENTECH HEADGEAR CO., LTD IN DONG NAI;Branch 1 Of Greentech Headgear Co., Ltd In Dong Nai;FINISHED GOODS;Finished Goods;Apparel;Nike;ASIAN SOURCING HEADWEAR;Asian Sourcing Headwear;Vietnam
39;Branch of Thuan Phuong Embroideries Garments Co., Ltd- M.D.K Factory ;Branch Of Thuan Phuong Embroideries Garments Co., Ltd- M.D.K Factory ;FINISHED GOODS;Finished Goods;Apparel;Nike;THUAN PHUONG;Thuan Phuong;Vietnam
40;Branch of Thuan Phuong Embroideries Garments Co.,Ltd - Binh Chanh Factory;Branch Of Thuan Phuong Embroideries Garments Co.,Ltd - Binh Chanh Factory;FINISHED GOODS;Finished Goods;Apparel;Nike;THUAN PHUONG;Thuan Phuong;Vietnam
41;Branch of Thuan Phuong Embroideries Garments Company Limited - Thuan Phuong Long An Factory;Branch Of Thuan Phuong Embroideries Garments Company Limited - Thuan Phuong Long An Factory;FINISHED GOODS;Finished Goods;Apparel;Nike;THUAN PHUONG;Thuan Phuong;Vietnam
42;Brandix Apparel Solutions (Pvt) Limited – Essentials, Batticaloa;Brandix Apparel Solutions (Pvt) Limited – Essentials, Batticaloa;FINISHED GOODS;Finished Goods;Apparel;Nike;BRANDIX ASIA HOLDINGS;Brandix Asia Holdings;Sri Lanka
43;Brandix Apparel Solutions (Pvt) Limited – Essentials, Koggala;Brandix Apparel Solutions (Pvt) Limited – Essentials, Koggala;FINISHED GOODS;Finished Goods;Apparel;Nike;BRANDIX ASIA HOLDINGS;Brandix Asia Holdings;Sri Lanka
44;Brandix Apparel Solutions (Pvt) Limited – Essentials, Kahawatta;Brandix Apparel Solutions (Pvt) Limited – Essentials, Kahawatta;FINISHED GOODS;Finished Goods;Apparel;Nike;BRANDIX SOLUTIONS;Brandix Solutions;Sri Lanka
45;BRANDIX APPL INDIA(P) LTD;Brandix Appl India(P) Ltd;FINISHED GOODS;Finished Goods;Apparel;Nike;BRANDIX ASIA HOLDINGS;Brandix Asia Holdings;India
46;C&W Embroidery, Inc.;C&W Embroidery, Inc.;FINISHED GOODS;Finished Goods;Apparel;Nike;C&W;C&W;USA
47;C.C. Creations;C.C. Creations;FINISHED GOODS;Finished Goods;Apparel;Nike;CC CREATIONS;Cc Creations;USA
48;CAN SPORTS VIETNAM CO., LTD;Can Sports Vietnam Co., Ltd;FINISHED GOODS;Finished Goods;Footwear;Nike;SPORTS GEAR;Sports Gear;Vietnam
49;Cassia Garment Company Limited;Cassia Garment Company Limited;FINISHED GOODS;Finished Goods;Apparel;Nike;RAMATEX;Ramatex;Thailand
50;CCH TOP VN CO., LTD.;Cch Top Vn Co., Ltd.;FINISHED GOODS;Finished Goods;Apparel;Nike;CHUAN CHENG;Chuan Cheng;Vietnam
51;CHANG SHIN DONG NAI COMPANY LTD;Chang Shin Dong Nai Company Ltd;FINISHED GOODS;Finished Goods;Footwear;Nike;CHANGSHIN;Changshin;Vietnam
52;CHANG SHIN INDONESIA;Chang Shin Indonesia;FINISHED GOODS;Finished Goods;Footwear;Nike;CHANGSHIN;Changshin;Indonesia
53;CHANG SHIN VIETNAM CO., LTD;Chang Shin Vietnam Co., Ltd;FINISHED GOODS;Finished Goods;Footwear;Nike;CHANGSHIN;Changshin;Vietnam
54;CHANG SHIN VIETNAM COMPANY, LTD.;Chang Shin Vietnam Company, Ltd.;FINISHED GOODS;Finished Goods;Footwear;Nike;CHANGSHIN;Changshin;Vietnam
55;Chang Tai Song Lin Woven Belt Co. LTD;Chang Tai Song Lin Woven Belt Co. Ltd;MATERIALS;Materials;Apparel;Nike;CHI YANG RIBBON;Chi Yang Ribbon;China
56;Chang Wong Industrial Co., Ltd.;Chang Wong Industrial Co., Ltd.;FINISHED GOODS;Finished Goods;Equipment;Nike;CHANG WONG INDUSTRIAL;Chang Wong Industrial;Taiwan
57;ChangShin Inc.;Changshin Inc.;FINISHED GOODS;Finished Goods;Footwear;Nike;CHANGSHIN;Changshin;South Korea
58;Changzhou Qingqing Knitted Textile Co., Ltd.;Changzhou Qingqing Knitted Textile Co., Ltd.;MATERIALS;Materials;Apparel;Converse;DECOR;Decor;China
59;Charmgo (Cambodia) Co. Ltd;Charmgo (Cambodia) Co. Ltd;FINISHED GOODS;Finished Goods;Apparel;Nike;CHARMGO;Charmgo;Cambodia
60;Cheng Horng Industrial Co., Ltd.;Cheng Horng Industrial Co., Ltd.;MATERIALS;Materials;Apparel;Nike;LITTLE KING;Little King;Taiwan
