factory_id;total_workers;line_workers;%female_workers;%migrant_workers;total_female_workers;total_migrant_workers
1;111;95;73;0;69;0
2;347;318;79;0;251;0
3;1303;1166;87;75;1014;874
4;8120;6800;86;0;5848;0
5;2704;906;75;0;679;0
6;1573;861;75;0;645;0
7;1227;1153;96;0;1106;0
8;1394;1275;92;0;1173;0
9;2904;2137;81;0;1730;0
10;4026;2568;53;0;1361;0
11;357;320;95;0;304;0
12;472;80;48;5;38;4
13;4634;4317;57;0;2460;0
14;22025;20012;90;0;18010;0
15;1532;1391;79;0;1098;0
16;116;104;49;12;50;12
17;379;359;38;7;136;25
18;723;571;97;0;553;0
19;322;255;52;0;132;0
20;5946;5310;84;0;4460;0
21;2935;1822;56;0;1020;0
22;855;585;49;0;286;0
23;950;800;35;1;280;8
24;384;241;42;3;101;7
25;2779;1983;42;0;832;0
26;542;350;51;0;178;0
27;160;120;30;0;36;0
28;57;30;0;0;0;0
29;392;340;17;0;57;0
30;343;329;11;0;36;0
31;3217;2994;89;0;2664;0
32;68;51;36;0;18;0
33;2148;1969;75;0;1476;0
34;45;41;65;0;26;0
35;1911;1794;85;0;1524;0
36;1042;991;81;0;802;0
37;5552;4782;83;0;3969;0
38;1680;1400;80;0;1120;0
39;1055;823;72;0;592;0
40;1169;1105;77;0;850;0
41;2327;2229;62;0;1381;0
42;3144;2829;86;0;2432;0
43;1360;1190;84;0;999;0
44;1079;1025;88;0;902;0
45;3985;3517;91;0;3200;0
46;165;125;80;0;100;0
47;345;304;57;0;173;0
48;6380;4883;72;0;3515;0
49;772;724;64;79;463;571
50;1553;1469;85;0;1248;0
51;2826;2613;93;0;2430;0
52;15656;14259;90;0;12833;0
53;5609;5369;89;0;4778;0
54;28751;27305;77;0;21024;0
55;123;112;70;0;78;0
56;31;22;30;32;6;7
57;998;323;52;0;167;0
58;112;100;15;0;15;0
59;1557;1526;71;1;1083;15
60;111;88;22;49;19;43
61;79;41;71;20;29;8
62;209;193;83;0;160;0
63;121;101;86;16;86;16
64;139;121;71;25;85;30
65;574;462;65;0;300;0
66;4905;4867;53;0;2579;0
67;1933;1762;90;0;1585;0
68;1455;1289;85;0;1095;0
69;1186;1086;68;0;738;0
70;21;17;80;0;13;0
71;3720;3206;53;0;1699;0
72;65;54;81;0;43;0
73;305;269;35;0;94;0
74;896;575;65;0;373;0
75;3526;3195;63;0;2012;0
76;164;115;30;0;34;0
77;234;170;37;0;62;0
78;220;75;10;0;7;0
79;120;50;20;20;10;10
80;58;36;4;17;1;6
81;334;262;31;0;81;0
82;75;55;21;15;11;8
83;150;90;0;0;0;0
84;374;192;4;0;7;0
85;87;53;87;51;46;27
86;66;66;30;3;19;1
87;1443;1093;39;0;426;0
88;2998;1814;70;0;1269;0
89;3778;3202;55;0;1761;0
90;40;40;40;0;16;0
91;845;227;77;70;174;158
92;9354;8569;90;0;7712;0
93;2050;1679;54;0;906;0
94;730;449;62;0;278;0
95;293;233;59;0;137;0
96;2566;2245;83;0;1863;0
97;3063;2655;75;0;1991;0
98;205;13;60;0;7;0
99;451;342;78;0;266;0
100;232;222;61;10;135;22
101;145;120;35;8;42;9
102;2600;2425;72;1;1746;24
103;250;188;70;5;131;9
104;58;50;81;4;40;2
105;371;330;70;0;231;0
106;10267;9631;64;0;6163;0
107;10488;8592;60;0;5155;0
108;23374;20589;66;0;13588;0
109;11984;9707;68;0;6600;0
110;772;570;67;0;381;0
111;78;67;65;0;43;0
112;475;406;63;0;255;0
113;421;267;55;0;146;0
114;844;735;63;0;463;0
